code_metier;nom_inventaire;code_inventaire;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;nature_localisation;x_wgs84;y_wgs84;fiche_risque
SSP3889753;BASIAS;IDF9300691;;34 rue FRANCIS DE PRESSENSE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889753
SSP3889755;BASIAS;IDF9300693;; rue ROUSSELLE PROLONGEE;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889755
SSP3890071;BASIAS;IDF9301012;; Quai MARINE PROLONGE de la;93450;93039;L'ILE SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890071
SSP3890201;BASIAS;IDF9301142;; rue FELIX MERLIN;93800;93031;EPINAY SUR SEINE;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890201
SSP3890938;BASIAS;IDF9301881;; rue CRETTE DE PALLUEL;93440;93030;DUGNY;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890938
SSP3890941;BASIAS;IDF9301885;; AEROPORT du BOURGET;93440;93030;DUGNY;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890941
SSP3891171;BASIAS;IDF9302116;;" avenue ARISTIDE BRIAND, ex 10 route NATIONALE";93320;93057;LES PAVILLONS SOUS BOIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891171
SSP3894420;BASIAS;IDF9305381;"FABRICATION ET GROS PEINTURES, VERNIS";27 rue MICHELET;93500;93055;PANTIN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3894420
SSP3894297;BASIAS;IDF9305258;SCIERIE; DOCKS de SAINT-OUEN;93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3894297
SSP3890725;BASIAS;IDF9301668;;"59 rue PANTIN de, actuelle avenue de la REPUBLIQUE";93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890725
SSP3891654;BASIAS;IDF9302600;;25 rue AVENIR de l';93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891654
SSP3889735;BASIAS;IDF9300673;;73 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889735
SSP3889736;BASIAS;IDF9300674;;104 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889736
SSP3889741;BASIAS;IDF9300679;; route LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889741
SSP3889743;BASIAS;IDF9300681;;"3 rue AUBERVILLIERS d', actuelle rue PINEL ex chemin de SAINT-DENIS à AUBERVILLIERS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889743
SSP3889746;BASIAS;IDF9300684;; FOSSES SABLEUSES Les;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889746
SSP3889762;BASIAS;IDF9300700;; boulevard CHATEAUDUN de;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889762
SSP3890279;BASIAS;IDF9301220;; MOULIN A VENT Le;93240;93072;STAINS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890279
SSP3890281;BASIAS;IDF9301222;; rue GRANDE CEINTURE de la;93240;93072;STAINS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890281
SSP3889760;BASIAS;IDF9300698;; Zone d'activité SUD CORNILLON;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889760
SSP3889768;BASIAS;IDF9300706;;2 rue AUBERVILLIERS d';93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889768
SSP3889774;BASIAS;IDF9300715;;4 avenue MOULINS GEMEAUX des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889774
SSP3889747;BASIAS;IDF9300685;; FOURCHES Les;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889747
SSP3890723;BASIAS;IDF9301666;; Chemin LATERAL;93300;93001;AUBERVILLIERS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890723
SSP3891653;BASIAS;IDF9302599;;8 rue NOUVELLE COMMUNE de la;93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891653
