code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP3889181;;"8 Chemin FRUITIERS des; 247 avenue du PRESIDENT WILSON";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3560438;48.916714;https://fiches-risques.brgm.fr/georisques/casias/SSP3889181
SSP3889182;;244 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3585544;48.916775;https://fiches-risques.brgm.fr/georisques/casias/SSP3889182
SSP3889183;;249 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3562486;48.91698;https://fiches-risques.brgm.fr/georisques/casias/SSP3889183
SSP3889184;;254 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3584182;48.917225;https://fiches-risques.brgm.fr/georisques/casias/SSP3889184
SSP3889185;;"253 avenue PRESIDENT WILSON du, ex 253 avenue de PARIS";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3559077;48.917404;https://fiches-risques.brgm.fr/georisques/casias/SSP3889185
SSP3889186;;260 avenue PRESIDENT WILSON du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3585138;48.91773;https://fiches-risques.brgm.fr/georisques/casias/SSP3889186
SSP3889214;;Chemin LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.365185;48.91564;https://fiches-risques.brgm.fr/georisques/casias/SSP3889214
SSP3889215;;"15 rue LANDY du, ex 8 rue du LANDY, ex route d'AUBERVILLIERS; 29 et 31 rue des FILLETTES";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3647203;48.9142;https://fiches-risques.brgm.fr/georisques/casias/SSP3889215
SSP3889216;;15 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3646114;48.914577;https://fiches-risques.brgm.fr/georisques/casias/SSP3889216
SSP3889226;;31 bis rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3620875;48.915165;https://fiches-risques.brgm.fr/georisques/casias/SSP3889226
SSP3889229;;"48 rue LANDY du, ou 52 rue du LANDY";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3613374;48.915714;https://fiches-risques.brgm.fr/georisques/casias/SSP3889229
SSP3889230;;58 rue LANDY du : usine-entrepôts et 43 rue CRISTINO GARCIA : bureaux;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3612692;48.916008;https://fiches-risques.brgm.fr/georisques/casias/SSP3889230
SSP3889231;;43 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.361173;48.91413;https://fiches-risques.brgm.fr/georisques/casias/SSP3889231
SSP3889232;;"58 rue LANDY du, ex 7 rue du LANDY";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3609009;48.915928;https://fiches-risques.brgm.fr/georisques/casias/SSP3889232
SSP3889246;;"97 rue LANDY du, ex 7 rue du LANDY, ex route de St OUEN";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3546515;48.914978;https://fiches-risques.brgm.fr/georisques/casias/SSP3889246
SSP3889247;;"108 bis rue LANDY du ; 110 rue du LANDY (1996)";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3542151;48.915886;https://fiches-risques.brgm.fr/georisques/casias/SSP3889247
SSP3889248;;112 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3534238;48.91596;https://fiches-risques.brgm.fr/georisques/casias/SSP3889248
SSP3889249;;116 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.352987;48.91596;https://fiches-risques.brgm.fr/georisques/casias/SSP3889249
SSP3889250;;129 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.352168;48.914734;https://fiches-risques.brgm.fr/georisques/casias/SSP3889250
SSP3889251;ATELIERS du LANDY;"147 rue LANDY du, et 148 et 150 rue du LANDY";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.349371;48.91413;https://fiches-risques.brgm.fr/georisques/casias/SSP3889251
SSP3889252;;164 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3475702;48.915012;https://fiches-risques.brgm.fr/georisques/casias/SSP3889252
SSP3889253;;166 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.348839;48.91511;https://fiches-risques.brgm.fr/georisques/casias/SSP3889253
SSP3889270;;17 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3554566;48.911217;https://fiches-risques.brgm.fr/georisques/casias/SSP3889270
SSP3889272;;30 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.357024;48.910885;https://fiches-risques.brgm.fr/georisques/casias/SSP3889272
SSP3889273;;7 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3570921;48.91099;https://fiches-risques.brgm.fr/georisques/casias/SSP3889273
